Year,Month,Day,Period,Forecast_time,Coast,East,Far_West,North,North_Central,South_Central,Southern,West
2018,10,27,1,2018-10-27 01:00:00,10214.986328125,1468.3441162109375,2860.567626953125,881.8661499023438,11654.4287109375,5904.849609375,2852.919921875,1138.73681640625
2018,10,27,2,2018-10-27 02:00:00,9123.78125,1452.4935302734375,2794.969482421875,820.9745483398438,11462.5888671875,5709.236328125,2766.91552734375,1058.4208984375
2018,10,27,3,2018-10-27 03:00:00,8660.998046875,1380.8707275390625,2687.874755859375,779.041259765625,11710.4765625,5265.478515625,2556.4326171875,977.6174926757812
2018,10,27,4,2018-10-27 04:00:00,8466.30859375,1276.2203369140625,2622.342041015625,688.8753662109375,10185.353515625,5054.671875,2523.7060546875,903.592529296875
2018,10,27,5,2018-10-27 05:00:00,8190.87548828125,1231.9049072265625,2584.167236328125,652.8939208984375,9353.2421875,4741.86181640625,2133.62646484375,862.535400390625
2018,10,27,6,2018-10-27 06:00:00,8095.763671875,1116.8875732421877,2677.490966796875,730.60693359375,8101.61962890625,4190.728515625,2299.251220703125,862.8780517578125
2018,10,27,7,2018-10-27 07:00:00,8027.38427734375,1120.5150146484377,2664.36669921875,733.0865478515625,8047.84326171875,4072.940185546875,2074.16552734375,838.1887817382812
2018,10,27,8,2018-10-27 08:00:00,7880.54052734375,1118.2843017578123,2625.881103515625,727.65869140625,7960.89794921875,4221.634765625,2122.4697265625,847.3787231445312
2018,10,27,9,2018-10-27 09:00:00,8129.35791015625,1153.0382080078125,2681.242431640625,724.1453857421875,8503.9072265625,4530.14404296875,2132.341064453125,887.8408813476562
2018,10,27,10,2018-10-27 10:00:00,8441.7265625,1278.2069091796875,2735.818359375,767.1983642578125,9111.4228515625,4871.169921875,2323.011474609375,942.7503662109376
2018,10,27,11,2018-10-27 11:00:00,8891.310546875,1294.95556640625,2792.428955078125,799.419189453125,10007.2333984375,5168.8193359375,2377.930908203125,996.0454711914062
2018,10,27,12,2018-10-27 12:00:00,9267.0927734375,1314.2415771484375,2826.257568359375,835.1668701171875,10062.1396484375,5223.4853515625,2516.189453125,1019.2285766601562
2018,10,27,13,2018-10-27 13:00:00,9768.173828125,1373.05224609375,2844.655517578125,891.9342041015625,10411.728515625,5328.890625,2551.3017578125,1019.70361328125
2018,10,27,14,2018-10-27 14:00:00,9980.97265625,1409.1800537109375,2850.948974609375,911.0960083007812,10653.46875,5529.02734375,2645.36572265625,1019.755859375
2018,10,27,15,2018-10-27 15:00:00,10242.48828125,1379.2926025390625,2860.687744140625,931.50439453125,10944.443359375,5600.5068359375,2694.842529296875,1031.65283203125
2018,10,27,16,2018-10-27 16:00:00,10384.9814453125,1419.9744873046875,2937.445068359375,927.8627319335938,11159.3095703125,5761.40478515625,2852.7578125,1026.5728759765623
